f,d,n,x,y,p
0.25,0.1,3.0,0.0,0.1972945891783567,0.0349943145727528
0.25,0.1,4.0,0.0,0.1972945891783567,0.0343026100629301
0.25,0.1,5.0,0.0,0.1972945891783567,0.033877213611052
0.25,0.1,6.0,0.0,0.1972945891783567,0.0336133530173264
0.25,0.1,7.0,0.0,0.1972945891783567,0.033439653883118
0.25,0.1,8.0,0.0,0.1972945891783567,0.0333281698445387
0.25,0.1,9.0,0.0,0.1972945891783567,0.033247029066724
0.25,0.1,10.0,0.0,0.1972945891783567,0.0331852577085726
0.25,0.1,11.0,0.0,0.1972945891783567,0.0331379511148223
0.25,0.1,12.0,0.0,0.1972945891783567,0.0331002278015861
0.25,0.1,13.0,0.0,0.1972945891783567,0.0330689437625409
0.25,0.1,14.0,0.0,0.1972945891783567,0.033042536072304
0.3,0.12,3.0,0.0,0.1974749498997996,0.0334337403644463
0.3,0.12,4.0,0.0,0.1969138276553106,0.0327306403171816
0.3,0.12,5.0,0.0,0.1969138276553106,0.0322988585370501
0.3,0.12,6.0,0.0,0.1969138276553106,0.0320327282204408
0.3,0.12,7.0,0.0,0.1974749498997996,0.0318598656037682
0.3,0.12,8.0,0.0,0.1974749498997996,0.031742632534292
0.3,0.12,9.0,0.0,0.1974749498997996,0.0316622588318207
0.3,0.12,10.0,0.0,0.1974749498997996,0.031601886922802
0.3,0.12,11.0,0.0,0.1974749498997996,0.0315566406852764
0.3,0.12,12.0,0.0,0.1974749498997996,0.0315217419424793
0.3,0.12,13.0,0.0,0.1974749498997996,0.0314929083797529
0.3,0.12,14.0,0.0,0.1974749498997996,0.0314692888698487
0.35,0.14,3.0,0.0,0.1950501002004008,0.032838948822413
0.35,0.14,4.0,0.0,0.1950501002004008,0.0321029962629642
0.35,0.14,5.0,0.0,0.1950501002004008,0.031649533695452
0.35,0.14,6.0,0.0,0.1950501002004008,0.0313692315438938
0.35,0.14,7.0,0.0,0.1950501002004008,0.0311881073386366
0.35,0.14,8.0,0.0,0.1950501002004008,0.0310653463258951
0.35,0.14,9.0,0.0,0.1950501002004008,0.0309747768884187
0.35,0.14,10.0,0.0,0.1950501002004008,0.0309127588942522
0.35,0.14,11.0,0.0,0.1950501002004008,0.0308668253838327
0.35,0.14,12.0,0.0,0.1950501002004008,0.0308297614251144
0.35,0.14,13.0,0.0,0.1997394789579158,0.0308004497601062
0.35,0.14,14.0,0.0,0.1997394789579158,0.0307770317216102
0.4,0.16,3.0,0.0,0.1949498997995992,0.0330282642861322
0.4,0.16,4.0,0.0,0.1949498997995992,0.0322314790036115
0.4,0.16,5.0,0.0,0.1949498997995992,0.031745834676732
0.4,0.16,6.0,0.0,0.1949498997995992,0.0314460048043064
0.4,0.16,7.0,0.0,0.1949498997995992,0.0312532163440575
0.4,0.16,8.0,0.0,0.1949498997995992,0.0311230101905123
0.4,0.16,9.0,0.0,0.1949498997995992,0.0310296780195499
0.4,0.16,10.0,0.0,0.1949498997995992,0.0309614095813877
0.4,0.16,11.0,0.0,0.1949498997995992,0.0309116384473073
0.4,0.16,12.0,0.0,0.1997595190380761,0.0308714848534779
0.4,0.16,13.0,0.0,0.1997595190380761,0.0308435542866658
0.4,0.16,14.0,0.0,0.1997595190380761,0.0308208946438219
0.45,0.18,3.0,0.0,0.1949298597194388,0.0339576909489074
0.45,0.18,4.0,0.0,0.1949298597194388,0.0330774846499848
0.45,0.18,5.0,0.0,0.1949298597194388,0.0325447038393589
0.45,0.18,6.0,0.0,0.1949298597194388,0.0322197770602033
0.45,0.18,7.0,0.0,0.1949298597194388,0.0320104613793742
0.45,0.18,8.0,0.0,0.1949298597194388,0.0318684511036772
0.45,0.18,9.0,0.0,0.1949298597194388,0.0317693958964506
0.45,0.18,10.0,0.0,0.1949298597194388,0.0316967435860187
0.45,0.18,11.0,0.0,0.1997795591182364,0.0316436428541344
0.45,0.18,12.0,0.0,0.1997795591182364,0.0316017324365664
0.45,0.18,13.0,0.0,0.1997795591182364,0.0315722731305105
0.45,0.18,14.0,0.0,0.1997795591182364,0.0315478080900753
0.5,0.2,3.0,0.0,0.1949899799599198,0.0356790313350405
0.5,0.2,4.0,0.0,0.1949899799599198,0.0346884675815042
0.5,0.2,5.0,0.0,0.1949899799599198,0.0340968518383058
0.5,0.2,6.0,0.0,0.1949899799599198,0.0337381135103157
0.5,0.2,7.0,0.0,0.1949899799599198,0.0335091625563325
0.5,0.2,8.0,0.0,0.1997995991983968,0.0333551478702697
0.5,0.2,9.0,0.0,0.1997995991983968,0.033249233816995
0.5,0.2,10.0,0.0,0.1997995991983968,0.0331731770259094
0.5,0.2,11.0,0.0,0.1997995991983968,0.0331152403210201
0.5,0.2,12.0,0.0,0.1997995991983968,0.0330718853286814
0.5,0.2,13.0,0.0,0.1997995991983968,0.0330370531819343
0.5,0.2,14.0,0.0,0.1997995991983968,0.0330104678142386
0.55,0.22,3.0,0.0,0.1998196392785571,0.0383438884352939
0.55,0.22,4.0,0.0,0.1951302605210421,0.037210434482097
0.55,0.22,5.0,0.0,0.1998196392785571,0.0365479437569881
0.55,0.22,6.0,0.0,0.1998196392785571,0.0361526799764112
0.55,0.22,7.0,0.0,0.1998196392785571,0.0359025193520423
0.55,0.22,8.0,0.0,0.1998196392785571,0.035734798571973
0.55,0.22,9.0,0.0,0.1998196392785571,0.0356200458549007
0.55,0.22,10.0,0.0,0.1998196392785571,0.0355339348564893
0.55,0.22,11.0,0.0,0.1998196392785571,0.0354709330865789
0.55,0.22,12.0,0.0,0.1998196392785571,0.0354232934478474
