epoch,total_loss,u_loss,v_loss,p_loss,periodic_total_loss,u_diff_loss,v_diff_loss,p_diff_loss,periodic_diff_total
51,0.014688402454814186,0.00020839112340067715,2.9991754316775452e-05,3.94686828614162e-05,0.0005597163234715877,3.394093437236734e-05,6.464680336648598e-05,2.1929458853264805e-06,0.0001007806836241798
52,0.014637859254751516,0.00020269951378197774,2.98805481060813e-05,3.942611004711817e-05,0.000549106737193854,3.955354623030871e-05,6.327586015686393e-05,2.197801677539246e-06,0.00010502720806471189
53,0.014673878965170487,0.00020725709707577428,2.9958051132068604e-05,3.9515794054276064e-05,0.0005563991549222366,3.5861721698893234e-05,6.500138260889798e-05,2.171689402530319e-06,0.00010303479371032154
54,0.014638607025794361,0.00020174337766113004,2.9900787131223098e-05,3.936702428884177e-05,0.0005573493873943453,3.630007995525375e-05,6.392932846210897e-05,2.176697080358281e-06,0.000102406105497721
55,0.014611831987681597,0.00020557661596483186,2.9827081601504926e-05,3.951386331565395e-05,0.0005511291649030602,3.3269814593950287e-05,6.413927621906623e-05,2.178087470383616e-06,9.958717828340014e-05
56,0.014709472615757713,0.00020023298882575625,3.0053885063313395e-05,3.9657429110577695e-05,0.0005617494411442591,3.350171391502954e-05,6.526982178911567e-05,2.174189148718142e-06,0.00010094572485286335
57,0.01459043529694495,0.0002042280602440967,2.977589381613222e-05,3.960891840308803e-05,0.0005455604227988616,3.233621464460157e-05,6.238896457944065e-05,2.1482778720383067e-06,9.687345709608053e-05
58,0.014732726363708143,0.00019910354698684228,3.0109429960999556e-05,3.950013097378162e-05,0.00056496428568726,3.271898458478972e-05,6.567103264387697e-05,2.1656046556017827e-06,0.00010055562188426848
59,0.014618149189197498,0.00020370960207757256,2.9819228312471356e-05,3.9386217869595505e-05,0.000538831819658694,3.3039275876944885e-05,6.303362170001492e-05,2.160495341740898e-06,9.82333929187007e-05
60,0.014677522865974384,0.00019729785423766336,2.99688817113233e-05,3.9316337358247004e-05,0.0005478230507477471,3.191109135514125e-05,6.462836608989164e-05,2.1527653188968543e-06,9.869222276392975e-05
61,0.014628651875840582,0.00020221308501356322,2.985442741824638e-05,3.9557667743951164e-05,0.0005445987310098565,3.1980289350030944e-05,6.395651871571317e-05,2.186989831898245e-06,9.812379789764236e-05
62,0.014701127803520016,0.00019624180150339785,3.0021990191333156e-05,3.9475771463121816e-05,0.0005497687455752622,2.931905873992946e-05,6.474721158156171e-05,2.1624141481879633e-06,9.622868446967914e-05
63,0.014687404198491055,0.00020027190950476444,2.9971343120332282e-05,3.9193278138080366e-05,0.000541937699460465,3.1875886634225026e-05,6.269928417168558e-05,2.14198257708631e-06,9.671715338299691e-05
64,0.014627770075331564,0.0001947381065490291,2.9913149220469084e-05,3.9368990537300505e-05,0.0005669114787293518,2.8219075829838403e-05,6.15881581325084e-05,2.1877785911783576e-06,9.199501255352516e-05
65,0.014609798343609209,0.00020019055544095033,2.9870273979411095e-05,3.94538787393527e-05,0.0005693402060348054,3.285515776951797e-05,6.514901178888977e-05,2.2065228222345468e-06,0.00010021069238064229
66,0.014519555453696976,0.00019369520748074612,2.966620527529259e-05,3.91906091270199e-05,0.0005504761053168255,2.762111216725316e-05,6.318824307527393e-05,2.1819710127601866e-06,9.299132625528728e-05
67,0.014571672548418459,0.00019853834427245286,2.979091677052961e-05,3.901590737412967e-05,0.000565576529049355,3.3081003493862227e-05,6.219857459655032e-05,2.158395318474504e-06,9.743797340888705e-05
68,0.014578861953771633,0.0001922294031828642,2.9815755703526996e-05,3.889170266515778e-05,0.0005641062541500381,2.565755494288169e-05,6.342936103465036e-05,2.209879539805115e-06,9.129679551733716e-05
69,0.014573869457387405,0.00019671052059097946,2.9802480956119403e-05,3.9133094738328666e-05,0.0005674099792604861,3.12116535496898e-05,6.306195427896455e-05,2.2202004856808344e-06,9.649380831433518e-05
70,0.01451267383020857,0.00019053012985513425,2.9671256055260766e-05,3.8961394317954294e-05,0.0005562992199607518,2.3946035071276128e-05,6.248981662793085e-05,2.194201442762278e-06,8.863005314196926e-05
71,0.014580063238416029,0.0001950767296163932,2.9811022772185464e-05,3.895912042302687e-05,0.0005636699497699738,3.036020279978402e-05,6.373580254148692e-05,2.1826490410603583e-06,9.62786543823313e-05
72,0.014542496317754621,0.00018875616281192103,2.9729558145450227e-05,3.9009491244897895e-05,0.0005538036398913549,2.1497835405170918e-05,6.265762203838676e-05,2.2129272565507563e-06,8.636838470010844e-05
73,0.014504027269456697,0.00019269653421361,2.9653077154248223e-05,3.9147412636615947e-05,0.0005584692420518917,2.905199107772205e-05,6.336090882541612e-05,2.209487547588651e-06,9.462238745072682e-05
74,0.014547432691830656,0.00018701033727468356,2.975977369477851e-05,3.917704128505885e-05,0.0005623643165049346,1.9342285668244585e-05,6.408274202840403e-05,2.1977414235152537e-06,8.562276912016387e-05
75,0.014566500104315903,0.00019092734462743545,2.9780079073490292e-05,3.888310786113953e-05,0.0005573253349765488,2.734570443863049e-05,6.186893006088212e-05,2.223697265435476e-06,9.143833176494809e-05
