epoch,total_loss,u_loss,v_loss,p_loss
0,0.3369227072901346,0.0009353726024776486,0.0006713595144405685,0.00030757771475526334
1,0.04696966589174487,0.0001880513664218597,9.344524981067728e-05,5.898938864199656e-05
2,0.019340683960101822,0.00012538043930279937,3.835471877457828e-05,3.794389191501647e-05
3,0.017035392113029957,0.00011716121629102749,3.376428123208991e-05,3.6090120622909374e-05
4,0.016659377227452667,0.00011560483670274897,3.301588251567657e-05,3.5831059821331024e-05
5,0.016558625735342503,0.00011517991879372858,3.2815387715924196e-05,3.575240126255349e-05
6,0.016503110189329494,0.0001149741735637442,3.270488675546155e-05,3.569263307409446e-05
7,0.01645797948268327,0.00011489886343373324,3.261482065268369e-05,3.567051432831001e-05
8,0.016411038623614746,0.00011479944309526631,3.252115890394304e-05,3.565949241006324e-05
9,0.016375409862534565,0.0001147277798736468,3.245013580123089e-05,3.561441801800604e-05
10,0.0163344694301486,0.0001146829460842789,3.2368392236424946e-05,3.559058446130207e-05
11,0.016294531778178432,0.00011461997432475486,3.228867783697999e-05,3.5572810454389334e-05
12,0.016262266361577946,0.0001145652138141238,3.222432298405858e-05,3.55398938567801e-05
13,0.01622647080909122,0.00011450235516266812,3.215286100881217e-05,3.553796738163907e-05
14,0.016196536069566555,0.00011442357241652313,3.2093117128666066e-05,3.555412926785225e-05
15,0.01616472691636194,0.00011432361663372086,3.2029727497667245e-05,3.553937759451483e-05
16,0.01613453970375386,0.00011432827820747413,3.19693874850848e-05,3.55180760710606e-05
17,0.01610728141597726,0.00011421018445451574,3.191513232278257e-05,3.550500084450257e-05
18,0.016085321760990402,0.00011413800199410285,3.187134412159635e-05,3.551196360521399e-05
19,0.01605786036022685,0.0001140948558961761,3.1816529702733867e-05,3.550056895950217e-05
20,0.016033925793387672,0.00011404560758488846,3.1768810500083916e-05,3.547486845821947e-05
21,0.016011963852427223,0.00011397136371339333,3.172501899164424e-05,3.548318620067386e-05
22,0.015994249589063904,0.00011387340154297735,3.168981724725613e-05,3.546746930541386e-05
23,0.015979835594242268,0.00011377301250997169,3.166117080995305e-05,3.547662609807131e-05
24,0.015964273109354755,0.00011368559386358935,3.163026204591998e-05,3.545643812685739e-05
25,0.015946561893956226,0.00011354784344968556,3.1595147613023237e-05,3.544033907845997e-05
26,0.015934791923923927,0.00011352751971571706,3.1571666940263555e-05,3.543094697471877e-05
27,0.015925833362747322,0.00011341153731336817,3.1553990331965245e-05,3.542693015002772e-05
28,0.015915092250162906,0.00011336889755594629,3.153259107917124e-05,3.5427712646196596e-05
29,0.015907316637987442,0.00011323328197415157,3.1517342987089336e-05,3.541201311401726e-05
30,0.015898986465551636,0.00011321375991842201,3.1500767198105514e-05,3.5389084091134876e-05
31,0.015884336084127426,0.00011311075683228079,3.147165923358195e-05,3.5395763089499354e-05
32,0.015879983251745052,0.00011299740931876427,3.146320672054902e-05,3.538222633572084e-05
33,0.0158742494373159,0.00011287362907420506,3.1451976279971525e-05,3.538750305861785e-05
34,0.01586598784408786,0.00011277920301918957,3.143568226898258e-05,3.536740339107134e-05
35,0.015870229256424038,0.0001127111165921881,3.144434545406098e-05,3.5345438928660854e-05
36,0.01585546356033195,0.00011258055151715367,3.1415042361583225e-05,3.536166745603127e-05
37,0.015854547392915596,0.00011246263238717802,3.141345802181274e-05,3.535584850892933e-05
