Velocity,i,Upper Width,Lower Width
0.6,12.0,0.018674804687500005,0.018609375000000004
0.6,13.0,0.017824218750000002,0.017758789062500002
0.6,14.0,0.017104492187500007,0.017039062500000007
0.65,3.0,0.043458984375000016,0.043402343750000016
0.65,4.0,0.03258398437500001,0.03252734375000001
0.65,5.0,0.02691992187500001,0.02686328125000001
0.65,6.0,0.023408203125000006,0.023351562500000006
0.65,7.0,0.020972656250000006,0.020916015625000006
0.65,8.0,0.019216796875000004,0.019160156250000004
0.65,9.0,0.01780078125,0.017744140625
0.65,10.0,0.016724609375000005,0.016667968750000005
0.65,11.0,0.015761718750000004,0.015705078125000004
0.65,12.0,0.014968750000000003,0.014912109375000003
0.65,13.0,0.014289062500000001,0.014232421875000002
0.65,14.0,0.013722656250000003,0.013666015625000003
0.7,3.0,0.03572070312500002,0.03562500000000002
0.7,4.0,0.026150390625000013,0.02605468750000001
0.7,5.0,0.021365234375000007,0.021269531250000005
0.7,6.0,0.018398437500000007,0.018302734375000004
0.7,7.0,0.016484375000000002,0.016388671875000003
0.7,8.0,0.015048828125000004,0.014953125000000005
0.7,9.0,0.013900390625000003,0.013804687500000003
0.7,10.0,0.013039062500000004,0.012943359375000005
0.7,11.0,0.012273437500000005,0.012177734375000004
0.7,12.0,0.011699218750000004,0.011603515625000003
0.7,13.0,0.011125000000000003,0.011029296875000004
0.7,14.0,0.010646484375000003,0.010550781250000002
