epoch,total_loss,u_loss,v_loss,p_loss
200,0.015510923059826548,0.002203504898881709,0.00013034365623422093,0.00027305231114124496
201,0.00634031713178212,0.00046793110695117235,5.808652481805025e-05,6.373349887408867e-05
202,0.005508339667523449,0.0003139966495589099,5.147014714814511e-05,4.732825006861028e-05
203,0.005391896363686432,0.00029717641485727984,5.049188340225638e-05,4.5531540143367074e-05
204,0.005348822313614867,0.0002926075778139586,5.010989198953294e-05,4.522548426228406e-05
205,0.005307941337708722,0.0002897547727281397,4.973032694331116e-05,4.515381872558712e-05
206,0.00526396398940547,0.00028746781886597586,4.931442493795078e-05,4.505361473341261e-05
207,0.0052118082954124975,0.0002856260319028727,4.881214540959759e-05,4.496770882476333e-05
208,0.005152626767415892,0.0002842774437422949,4.823429960445289e-05,4.491937215789221e-05
209,0.005085993283004923,0.0002831622735935856,4.7579303017383524e-05,4.4900628298902035e-05
210,0.00500949190675535,0.00028244397253729403,4.6822719840830274e-05,4.4775968324922196e-05
211,0.004923842297020284,0.00028198205241510135,4.597139344365463e-05,4.472088601852936e-05
212,0.004823461344296282,0.0002814772239865058,4.497339696999089e-05,4.464445952511266e-05
213,0.0047117382584309035,0.00028118823750198567,4.385981694874565e-05,4.456834937048949e-05
214,0.004584662171758034,0.00028089895733335817,4.259273919160478e-05,4.448929344520862e-05
215,0.004444703078744086,0.000280781205881133,4.119496208493894e-05,4.4425675613720984e-05
216,0.004328681875697591,0.00028062778239307755,4.003692166324154e-05,4.4361923838468186e-05
217,0.004258335949006406,0.00028057031291113657,3.9335126943611115e-05,4.425287806952838e-05
218,0.004114853810857643,0.0002804104124979031,3.7902627644309014e-05,4.418063558246517e-05
219,0.004118742527101527,0.00028024309986821294,3.7944073317868806e-05,4.409202152931936e-05
220,0.0038892938861284742,0.0002801611342213371,3.565144205905116e-05,4.398853359982075e-05
221,0.0045012737603180785,0.0002800751337252388,4.177309297533198e-05,4.388927250560796e-05
222,0.0038634636651047253,0.0002800036348741163,3.539671045225325e-05,4.378902138507163e-05
223,0.0037473386725072155,0.0002799007515105504,3.42376702478346e-05,4.367088083447677e-05
224,0.003705544852312993,0.0002798176203875548,3.3821529624137014e-05,4.357428522119087e-05
225,0.0036831950684162703,0.00027985723863821477,3.359908028373452e-05,4.3429752622614615e-05
226,0.0037219617727466607,0.00027966551450927824,3.398990007884674e-05,4.3306280944803305e-05
