x,y,u,v
0.0043020763318871,0.0118967529670263,0.5803026,-0.19788915
0.0059862131686217,0.0023253618201407,0.5921718,-0.12620762
0.0075729051135785,0.0070898965578394,0.60701156,-0.36448956
0.002359043205632,0.0069943448063074,0.60639066,-0.09904501
0.0104474440801521,0.0063255773371615,0.6147245,-0.5968057
0.0063560872604219,0.0007483481361615,0.59519684,-0.05340357
0.0012984571550074,0.0076955382083103,0.6090466,-0.09399027
0.0004909886424684,0.0062810641894233,0.6172934,-0.06946722
0.0033324457122952,0.0075497350775033,0.6044783,-0.13123813
0.0064905380204681,0.0099661722022243,0.59718573,-0.30428982
0.0055910540121308,0.0009601054451379,0.602067,-0.03727755
0.0029815411180256,0.0032287818315838,0.61294836,-0.045299232
0.0059270210969202,0.0056359966718731,0.5999917,-0.22861695
0.0033791224638877,0.0008850216452512,0.636577,0.033829436
0.0050947665826466,0.0021746967108835,0.59910953,-0.08068022
0.0118338217493452,0.0090137897626881,0.609306,-0.8098538
0.0118505332677691,0.0054855634776468,0.61852884,-0.6965075
0.0101097165462306,0.0077690627502947,0.61319506,-0.60033643
0.0118178339233721,0.0067769161547032,0.620649,-0.74884164
0.0042996523930318,0.0017317444231062,0.6106111,-0.03187588
0.00432130483677,0.0087576514724749,0.60306525,-0.17834336
0.0092349966452745,0.0052628617198806,0.6054995,-0.45411566
0.0070137495643174,0.0109366936238938,0.58729327,-0.34302276
0.0060627661360978,0.0084603195495293,0.6042495,-0.2698835
0.0087906049525483,0.0035537956690938,0.592559,-0.3478043
0.0011752746110523,0.0053858173129688,0.6163626,-0.05688861
0.0021322683996404,0.0092944893559838,0.6038281,-0.122641
0.0065406889165437,0.0075914944542419,0.60551196,-0.29501578
0.0058730816403419,0.0046259781043355,0.59630287,-0.20301645
0.0109752917436114,0.0100453930833028,0.59715486,-0.72231525
0.0059540547677065,0.0125293525954831,0.5665715,-0.27592406
0.0094568305362603,0.0073689772743366,0.61208034,-0.52987397
0.0058256072491208,0.0023325813592897,0.59314704,-0.119149044
0.0045774686141186,0.0099119015610158,0.59844923,-0.19635037
0.0089892466720913,0.0088640244313669,0.60612106,-0.505321
0.0052894996324624,0.0114874759441674,0.58323514,-0.23699073
0.0061048632215704,0.0052738910337411,0.5986954,-0.23178032
0.004988061903659,0.0016751437242499,0.6031363,-0.05338429
0.0031998289076999,0.0027265999356633,0.614622,-0.0361543
0.0058887464811776,0.0096203203181002,0.5996358,-0.2642461
0.0021920725310994,0.005485017984891,0.60887754,-0.0740284
0.0019735055345643,0.0056218468258292,0.6098161,-0.0719434
0.0086276734268219,0.008842198915838,0.6057657,-0.47166136
0.0082210343352839,0.0122717635910075,0.5659195,-0.44008395
0.003747666823688,0.0056033419513724,0.60219866,-0.12188828
0.0032903287566046,0.0066821731913079,0.60412216,-0.120399565
0.0021968312489737,0.0053429395224868,0.60921675,-0.07177341
0.0080960827010859,0.0066806533359031,0.60754627,-0.39904332
0.0060759070417507,0.0072510686316747,0.60456526,-0.26102322
0.0068852221407551,0.0110323928444663,0.586288,-0.33369622
0.0097499548936167,0.0058711118117269,0.6104807,-0.5184245
0.0077001398193232,0.0102222820291064,0.59463084,-0.39620158
0.0061316207848829,0.0038889446337972,0.5935359,-0.19571199
0.003267725522201,0.0075290726413964,0.6045518,-0.12896803
0.0080986413995541,0.0091034539945691,0.603668,-0.42640102
0.0060933803215896,0.0021280992185294,0.59179395,-0.1216532
0.0108945945090762,0.0044030276434563,0.60708964,-0.5536595
0.0023045005219961,0.0093009064982732,0.6035142,-0.12497905
0.0062714574234779,0.0046895816361228,0.59635854,-0.22747931
0.0091756619555256,0.0071212325330888,0.6112944,-0.49936157
0.0032158583095036,0.0073867149046552,0.6045906,-0.12588143
0.0001008847052712,0.0046118786636545,0.63400054,-0.037945777
0.0050983779067817,0.011384549586153,0.58484524,-0.22727865
0.0051911774575333,0.0062166541797191,0.601606,-0.196815
0.0110480589365986,0.0091436012429765,0.6068722,-0.7214757
0.0036291990338942,0.00310290265403,0.6073841,-0.061107576
0.0061318828077498,0.001184531136814,0.59475815,-0.07177289
0.0031028914584267,0.0022387100141068,0.6208643,-0.016824901
0.0030548944832338,0.0059203081040124,0.6044426,-0.10292095
0.010261101294693,0.0073426034674457,0.61452377,-0.606598
0.0039645629285376,0.0070903531616795,0.6036128,-0.14956737
0.0081939795885626,0.00637923353535,0.60698926,-0.40093988
0.0045695728035223,0.0087018516816335,0.6031513,-0.18899533
0.0039358313366656,0.0052823970681847,0.6013957,-0.12385669
0.0060659348046647,0.0120354893839052,0.5740882,-0.2810421
0.0079238451095246,0.0039939772593762,0.59391534,-0.3087783
0.0004239713389825,0.0086692186376167,0.6100271,-0.11132759
0.00664498712197,0.0015302398823365,0.5892801,-0.11462633
0.0069815521544192,0.0093619539040404,0.6013582,-0.33764914
0.0088799176794918,0.0046379675016769,0.6003891,-0.40276212
0.0048753194130342,0.0096413958485718,0.59976983,-0.20870045
0.0115914562919066,0.0073877952432034,0.6187378,-0.7449275
0.0064323970611233,0.0041065996682995,0.59393775,-0.21970862
0.0074699016486817,0.0054554879923982,0.6012883,-0.32506853
0.0039988700314664,0.0096665734033566,0.60017425,-0.17156217
0.0027918580058639,0.0063321639921427,0.60526854,-0.10103515
0.0019737284784927,0.0027616342680969,0.63051295,-0.009106278
0.0002890345118221,0.0044786409143413,0.6330366,-0.03494373
