x,y,u,v,p
0.1546532885347468,0.2270300707153301,-0.00463672,-0.017752446,0.046131372
0.2311403655675283,0.2428992997790495,0.001113221,-0.027832903,0.045526743
0.1416258441369327,0.1228019181772997,-0.04103084,-0.02590061,0.04407358
0.3033912291154326,0.0877775115903328,-0.04696162,-0.05622781,0.04057908
0.2830358589090563,0.3556337371548148,0.039534494,-0.024847053,0.042857885
0.1346068194677221,0.0295364650982545,-0.07324703,-0.033842362,0.03828025
0.1156363220595069,0.2929633731956945,0.019550607,-0.0061248466,0.045208693
0.2154613526000291,0.257607949761051,0.005971834,-0.023883887,0.045621157
0.2967945340195816,0.4292447161588679,0.06405942,-0.019637264,0.040076256
0.1140128661988602,0.1656270729725122,-0.025950149,-0.017851718,0.04532838
0.19635642687822,0.0959988481678309,-0.049264267,-0.036964156,0.042711496
0.2385246721334767,0.1717323283048962,-0.022663787,-0.03622762,0.04483223
0.220223637126049,0.0537792329084094,-0.062470272,-0.045117073,0.040047407
0.0485022873612897,0.1695090667475058,-0.02313061,-0.008850165,0.044492245
0.0039896708012251,0.2691650704223735,0.01571767,0.005128376,0.043603897
0.1000416676843475,0.3679109823024116,0.047416613,0.0027196184,0.042299747
0.0805556753365905,0.1004351196894961,-0.04865785,-0.019365095,0.042440414
0.1168963196177939,0.1950959494276536,-0.015536264,-0.015467547,0.045868874
0.048198006696053,0.2583830586779553,0.0094038695,-0.0008296147,0.04491973
0.1857396697673382,0.4142920610183628,0.060993955,-0.004250057,0.040721178
0.2914823563726791,0.1322040929810585,-0.03347929,-0.049416296,0.042720318
0.1862269328925607,0.1242943427470947,-0.039939955,-0.032546364,0.04403758
0.2040671989824568,0.1420313736014503,-0.03353782,-0.033611454,0.04451132
0.0797799302226364,0.1606252086004206,-0.02718909,-0.013678022,0.044835567
0.2262832765865097,0.2481407990514439,0.002833292,-0.026532032,0.045564413
0.0528835445606918,0.3131018247001079,0.02942042,0.0034713224,0.04373789
0.3172015316029417,0.2756390680310727,0.013817951,-0.03896632,0.0438385
0.3685946894792904,0.3607204550355481,0.042254493,-0.039227672,0.041609526
0.2490686309452847,0.4459300364003867,0.07042687,-0.01044213,0.039293528
0.3251610960083806,0.1406685526843528,-0.028912619,-0.05465787,0.042159557
0.3826160688919566,0.2588432620795702,0.010992691,-0.052810974,0.042378426
