x,y,u,v,p,d,F,N
0.012,0.0116323467300957,0.2417410865731369,0.0971552495043937,33.06452700134986,0.006600000000000001,0.55,4
0.012,0.0116626793286533,0.1635324486082465,0.0477935898187491,49.12558175945589,0.006600000000000001,0.55,4
0.011948114762557,0.0116416112599763,0.1564282821314243,0.0335486232523469,25.32536026391716,0.006600000000000001,0.55,4
0.012,0.0115894010263962,0.3323120290480318,0.1460896229708976,21.02210584143999,0.006600000000000001,0.55,4
0.0119381627928448,0.0116082224447522,0.2315446596915432,0.0501565238737566,20.63104468321089,0.006600000000000001,0.55,4
0.012,0.011522101393916,0.4594869362911031,0.1995670769651934,13.985637561917336,0.006600000000000001,0.55,4
0.011930719021495,0.0115551845553476,0.3460884956585101,0.0809927776675882,16.501297894329415,0.006600000000000001,0.55,4
0.0119267762250505,0.0114728877276439,0.5051900828552163,0.1256964460222854,11.743337433831016,0.006600000000000001,0.55,4
0.012,0.0114237454030246,0.6252670033751543,0.2496721418662453,8.94397824953103,0.006600000000000001,0.55,4
0.0087368891188072,0.0141842222797018,0.0055272739920561,-0.0213831393647307,24.18488507440558,0.006600000000000001,0.55,4
0.0087648221428305,0.0141259184220162,0.0048387536803804,-0.0174206993656962,24.23316281456221,0.006600000000000001,0.55,4
0.0087660999926613,0.0141915249981653,0.0028987880422996,-0.0114042909102735,24.176601459851994,0.006600000000000001,0.55,4
0.0119198304137312,0.0113568241308365,0.7006131039884492,0.1673937179585714,7.584813707822762,0.006600000000000001,0.55,4
0.012,0.0112969524667643,0.8148461752364865,0.2875724141649287,5.285427831078861,0.006600000000000001,0.55,4
0.0086972760584942,0.0141743190146235,0.0091473094976538,-0.0343248324930266,24.11140333448765,0.006600000000000001,0.55,4
0.0087336796120284,0.014103140397893,0.0084420154097142,-0.0293230704334068,24.172299246835014,0.006600000000000001,0.55,4
0.0119132064155949,0.0112142850838389,0.9104430357854952,0.1986455499721421,4.499292133035126,0.006600000000000001,0.55,4
0.012,0.0111579298767373,1.0001395268203008,0.3091790983580518,2.735851378050277,0.006600000000000001,0.55,4
0.0086291181631284,0.0141572795407821,0.015471743537716,-0.0557452854701014,24.061928770786174,0.006600000000000001,0.55,4
0.0086762059889259,0.0140953371385723,0.013997959362807,-0.0474244903826544,24.09807068439828,0.006600000000000001,0.55,4
0.0119079628638807,0.0110852529550917,1.078643449812869,0.2138923679275253,2.6391906612155225,0.006600000000000001,0.55,4
0.012,0.0110311464019541,1.1507164308842983,0.3164328061646758,1.0526023912632378,0.006600000000000001,0.55,4
0.0085892335902389,0.0140689158751699,0.0231846969125017,-0.0741727575740647,23.9978547856268,0.006600000000000001,0.55,4
0.0085180532261039,0.0141295133065259,0.0262808052867478,-0.0873669514758653,23.95941723947507,0.006600000000000001,0.55,4
