x,y,u,v,p,d,F,N
0.0101531354698497,0.0132691419337312,0.0073436455574032,-0.0335577411014772,45.06391736685601,0.0036,0.3,8
0.0101711277898331,0.0132079838296876,0.0075884507268493,-0.0334434208223446,45.50341285228978,0.0036,0.3,8
0.010180453616607,0.0132725567020758,0.0033127864489391,-0.0188832563210606,45.59367084738568,0.0036,0.3,8
0.0119999999999999,0.0116313285374568,0.4366027687883756,0.1721248729067539,57.73380389144604,0.0036,0.3,8
0.012,0.0116672287749584,0.2677571180130189,0.0702517564142047,90.19386448056918,0.0036,0.3,8
0.0119476680927444,0.0116477850600312,0.2554107778078481,0.0463823168407241,44.50195541514518,0.0036,0.3,8
0.0101039612962327,0.013262995162029,0.0168942589540907,-0.0582091252624792,44.543142667317646,0.0036,0.3,8
0.0101394626391428,0.0131888898572918,0.0151740039812274,-0.0557497062418489,44.82112493725999,0.0036,0.3,8
0.0119205230719764,0.0116112737902043,0.3905647027895662,0.0458216833518032,34.53331651031066,0.0036,0.3,8
0.012,0.0115873962287157,0.607361130984997,0.2487308514560936,34.72583685821147,0.0036,0.3,8
0.0100388340368353,0.0132548542546044,0.0340594352169984,-0.0877588988015017,43.84107078197457,0.0036,0.3,8
0.0100808479524538,0.013188623300558,0.0300362163545763,-0.0874242866824012,44.03675040979186,0.0036,0.3,8
0.0119261574327879,0.0115591370907454,0.6188264888469145,0.1121178747156144,27.403349634063307,0.0036,0.3,8
0.0119999999999999,0.0115273997774955,0.817166296703261,0.3294537983560664,22.92970676130499,0.0036,0.3,8
0.0099959746280064,0.013174462454972,0.0587911115167942,-0.129847477642659,42.802462421924695,0.0036,0.3,8
0.0099281683579781,0.0132410210447472,0.0748466066903127,-0.1286440858295098,41.871001975537496,0.0036,0.3,8
0.0119252906141766,0.0114772249833871,0.9169563050959798,0.184762486880889,18.931130907320327,0.0036,0.3,8
0.0119999999999999,0.011426146458985,1.134350031173024,0.4101939009557901,13.46325426313952,0.0036,0.3,8
0.00987366783294,0.0131525404578693,0.1114062475330229,-0.1816459674660438,40.95449885755209,0.0036,0.3,8
0.009807839711928,0.013225979963991,0.1257787903064636,-0.1685449184059003,40.351224628336986,0.0036,0.3,8
0.0119205409185214,0.0113607424238135,1.2790913426009671,0.2481741289048422,11.382175601132248,0.0036,0.3,8
0.0119999999999999,0.011284111052731,1.522015997910296,0.4658619097194531,6.4877045211076405,0.0036,0.3,8
0.0097349993707051,0.0131285287720316,0.1808746387061976,-0.2311164061489179,39.45214960588205,0.0036,0.3,8
0.0096765742319978,0.0132095717789997,0.1917178411883099,-0.2037015369586365,39.0056835517418,0.0036,0.3,8
0.0119158602206157,0.0112203115024884,1.658860710084727,0.2915092082464177,6.209270081779059,0.0036,0.3,8
0.0119999999999999,0.0111504931561012,1.84286247900564,0.4853077000375237,2.706305266261756,0.0036,0.3,8
0.0096159194495222,0.0131096417186115,0.245555157140994,-0.2647792343615063,38.223673697814526,0.0036,0.3,8
0.0095508523138345,0.0131938565392293,0.2597641419541796,-0.231129033864261,37.8114768865764,0.0036,0.3,8
0.0119097810504681,0.01108087706462,1.98636753655104,0.3068878873615381,3.2145468897003195,0.0036,0.3,8
0.0119999999999999,0.0110251516022923,2.11215289644638,0.4877920029426755,0.6124215182680008,0.0036,0.3,8
0.0095045592096701,0.0130910009793294,0.3089639501172194,-0.2914227569592206,37.15768211878094,0.0036,0.3,8
0.0094359571397157,0.0131794946424644,0.3243634804622736,-0.2520705422433195,36.792370522794606,0.0036,0.3,8
0.0119051507908688,0.0109665627443718,2.225134266376862,0.3099377552519753,1.5105144426017183,0.0036,0.3,8
0.012,0.0109079727777499,2.339745160017701,0.4822476456225338,-0.6640895040585038,0.0036,0.3,8
0.0093873613391808,0.0130714255353585,0.3770310157327996,-0.3148748589822234,36.14284981123722,0.0036,0.3,8
0.0093152072157655,0.0131644009019706,0.3934115833647766,-0.2707007114926544,35.80776948015506,0.0036,0.3,8
0.0119002823600659,0.0108463736780393,2.453620618029968,0.3067575287847623,0.4889287432573545,0.0036,0.3,8
0.0119999999999999,0.0107847739916927,2.559419929768314,0.4713154031840192,-1.398250613750056,0.0036,0.3,8
0.0092642875395632,0.013050826478539,0.4487979942512869,-0.3353675528951203,35.1765237273299,0.0036,0.3,8
0.0091883048125731,0.0131485381015716,0.4660246235968246,-0.2871350761996066,34.867507452856046,0.0036,0.3,8
0.0118951637439844,0.0107200113224545,2.6726569502219686,0.298761026203971,-0.2478863364738086,0.0036,0.3,8
0.0119999999999999,0.0106552483271999,2.770976380727161,0.4561257631349009,-1.895749074395692,0.0036,0.3,8
0.0091345109262003,0.0130295968825732,0.5235648185412615,-0.3528455443529969,34.25458749635204,0.0036,0.3,8
0.0090549459393678,0.0131318682424209,0.5413318973044758,-0.3015281735925376,33.96812408893236,0.0036,0.3,8
0.0118897821914586,0.0105871603060534,2.882717538462007,0.2873722377651873,-0.7333760981017666,0.0036,0.3,8
0.0119999999999999,0.0105190730524819,2.9745611381309573,0.4379283908697844,-2.17838083349453,0.0036,0.3,8
0.0118841243140603,0.0104474883536321,3.084114154034969,0.2736023081348972,-1.0361877839258893,0.0036,0.3,8
0.012,0.0103759058465701,3.170283699564875,0.4177113483507941,-2.315022696283328,0.0036,0.3,8
0.0089984752091109,0.0130082563430271,0.599913765693976,-0.3671311983892847,33.38063917534806,0.0036,0.3,8
0.0089148021073124,0.013114350263414,0.6184491376553026,-0.3140129340880708,33.113284345511566,0.0036,0.3,8
