x,y,u,v,p,d,F,N
0.3423324648377135,0.32218057394973765,0.0285076442801191,-0.0057914310315269335,0.016335708820172525,0.27999999999999997,0.7,5
0.12094542055453648,0.24793672055584154,0.02486625341938998,0.010561560944940587,0.02850886267827581,0.27999999999999997,0.7,5
0.13230148700496722,0.08261070806584056,0.0017008216150615652,-0.001970746236106454,0.02626437098735218,0.27999999999999997,0.7,5
0.30662836933984794,0.3018621758703102,0.033840419143860205,-0.0019925250916141613,0.0197708882242792,0.27999999999999997,0.7,5
0.10235266865018278,0.23656459457489842,0.02987038852540516,0.009128094364971648,0.030467485357757756,0.27999999999999997,0.7,5
0.0019780867777734025,0.15838850947068997,0.027817871348447473,-0.0004130681821254507,0.049072787670721665,0.27999999999999997,0.7,5
0.3976787599931321,0.2901937837537888,0.049907729570228654,0.002131610552802134,-0.0037184753252592828,0.27999999999999997,0.7,5
0.24024056417834197,0.404302688834655,0.0021689045739048825,-0.0032910624666225414,0.025941420993640343,0.27999999999999997,0.7,5
0.04891523444351967,0.268594946072789,0.00031393355059305836,0.00011155252817898832,0.03278628080749762,0.27999999999999997,0.7,5
0.17199924380699452,0.4171870712380448,0.0005361183073235941,-0.0033087556071086125,0.02545670248417448,0.27999999999999997,0.7,5
0.13132660333015425,0.11151856866301148,0.007104704607857175,-0.00384864227592986,0.027125512327493544,0.27999999999999997,0.7,5
0.3756004643063235,0.2960594107441183,0.04827408163306518,-0.0015217178700277553,0.005090443745810732,0.27999999999999997,0.7,5
0.13677970515374113,0.11654092037689874,0.008640863050208532,-0.003908710949723589,0.02740735992336104,0.27999999999999997,0.7,5
0.19792181512217819,0.4313966407315981,0.0007966482441113156,-0.004252670509257354,0.026092870924268933,0.27999999999999997,0.7,5
0.01778944868564607,0.2519330440883433,0.014938555531501703,0.0017065456323448027,0.04421266713933454,0.27999999999999997,0.7,5
0.22766045167024163,0.0487404159148934,0.0005815653929717971,-0.003559680846079832,0.0268014411748985,0.27999999999999997,0.7,5
0.14619425766172964,0.16478835718102414,0.021742432685369004,0.0001346988329752608,0.02881509860825752,0.27999999999999997,0.7,5
0.3871248099975345,0.31551679664210436,0.03564873995793773,-0.00025331640573706294,0.003911036469811839,0.27999999999999997,0.7,5
0.07869650505873911,0.25319649303877545,0.022222773475608137,0.008083328797645171,0.03118325779514438,0.27999999999999997,0.7,5
0.32940023161168375,0.21415567879891892,0.01140377373914386,0.005102445384056057,0.021225288021106407,0.27999999999999997,0.7,5
0.3589766277288885,0.2407762397678334,0.031330250319791024,0.005470912447156766,0.012068442107261393,0.27999999999999997,0.7,5
0.08739428188820138,0.16981564123637935,0.03219368235104501,-0.0038917586746314886,0.032496508045508014,0.27999999999999997,0.7,5
0.37422017773762595,0.22186796880390983,0.006649382282653462,0.0012061987377728059,0.011272088278280546,0.27999999999999997,0.7,5
0.2986897242523105,0.20869958910709005,0.014442235590181618,0.008563003557359661,0.024444123011026823,0.27999999999999997,0.7,5
0.1835659437470199,0.16626912816313008,0.016870064929141063,0.003577236012131458,0.02810588555430797,0.27999999999999997,0.7,5
0.158787087147818,0.16685672019659384,0.020432364059514613,0.0015661640824147088,0.0285156127080543,0.27999999999999997,0.7,5
0.19421436547616586,0.4248044532231256,0.0008402737643753137,-0.00415299289956753,0.025894159432726417,0.27999999999999997,0.7,5
0.3667379497507095,0.22323355102515882,0.010577554675978419,0.0023142603867447034,0.012737216437932072,0.27999999999999997,0.7,5
0.3175334793195918,0.33960098370894826,0.01661425523773714,-0.005851171002530494,0.02199457963161345,0.27999999999999997,0.7,5
0.23918412404772724,0.21952492587298278,0.02134423975461163,0.011400112736085965,0.02586855788917301,0.27999999999999997,0.7,5
0.19366915156307757,0.36365061805270527,0.004803935880530465,-0.0010364207200065484,0.024622032939456598,0.27999999999999997,0.7,5
0.16472424953960393,0.28889716873488475,0.015135749161753732,0.00937097688865713,0.025311346445417143,0.27999999999999997,0.7,5
0.3806969342882205,0.2866358845053297,0.051488333414210885,-0.0002037213044825257,0.0027960185041290544,0.27999999999999997,0.7,5
0.1763903224386134,0.27262238976533587,0.01951741285676998,0.010423401763763447,0.025766762255151964,0.27999999999999997,0.7,5
0.2750764335032688,0.31050208589512,0.025871021957148355,-0.000903542196449877,0.02263376219833292,0.27999999999999997,0.7,5
0.21609022012141754,0.20750006032220322,0.020298720176495207,0.01028604176167641,0.026841041159558786,0.27999999999999997,0.7,5
0.03675627876807939,0.1912975320911419,0.048475883152917065,-0.0011350367863702767,0.04240148646381502,0.27999999999999997,0.7,5
0.06756950654108947,0.2366031372789058,0.03273050071727653,0.007266269203415746,0.034524147106063115,0.27999999999999997,0.7,5
0.1483749510162169,0.08902668279000392,0.0033427826673810682,-0.0031504409041724648,0.026749941051172205,0.27999999999999997,0.7,5
0.18322597401457352,0.3411175874104311,0.006875391414725052,0.001988113131198513,0.024336313320947378,0.27999999999999997,0.7,5
0.0558935896468189,0.20958537559305596,0.04496805984259169,0.0028068761046937097,0.03813906018810765,0.27999999999999997,0.7,5
0.1417675995558001,0.38225194206628316,-1.4720739736155084e-05,-0.000274878658620322,0.02337085970658217,0.27999999999999997,0.7,5
0.25800488748503225,0.21999997580370567,0.02122626827830595,0.011473756621730283,0.02526925700679129,0.27999999999999997,0.7,5
0.07547032950309554,0.17349805764878298,0.03562539509295524,-0.0038205199271286734,0.0341479759160795,0.27999999999999997,0.7,5
0.2514997781299838,0.35900651363633423,0.009717806630188697,-0.0033709530413947547,0.024928537197652884,0.27999999999999997,0.7,5
